Record,Location,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,longitude,latitude
2014000001,RIDEAU ST @ WALLER ST,2014-02-21,06:07:00,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,-75.6887262091,45.4275329576
2014000002,HINES RD btwn INNOVATION DR & SOLANDT RD,2014-08-02,13:55:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,01 - Fatal injury,02 - Angle,-75.9210326254,45.3431515116
2014000003,LOGGERS WAY btwn KINGDON MINE RD & GALETTA SIDE RD,2014-06-20,23:15:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,-76.2470452582,45.4386266949
2014000004,MONTREAL RD @ BATHGATE DR/BURMA RD,2014-07-29,16:31:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,05 - Turning movement,-75.6252710175,45.447247967
2014000005,RICHMOND RD btwn FALLOWFIELD RD & RUSHMORE RD,2014-08-05,20:05:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,01 - Fatal injury,07 - SMV other,-75.8202524274,45.2510732878
2014000006,PARKDALE AVE btwn RUSKIN ST & INGLEWOOD PL,2014-04-19,10:22:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,06 - SMV unattended vehicle,-75.7240213342,45.3923565886
2014000007,CARLING AVE/STATION RD @ MARCH RD,2014-07-27,13:10:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,01 - Fatal injury,99 - Other,-75.9116874861,45.3386515396
2014000008,CATHERINE ST @ KENT ST,2014-08-12,22:18:00,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,-75.6937668576,45.4087974391
2014000009,DOYLE RD @ RIVER RD,2014-09-06,10:58:00,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,01 - Fatal injury,04 - Sideswipe,-75.6228022212,45.171308666
2014000010,KATIMAVIK RD btwn PEARY WAY & CHIMO DR,2014-04-22,16:17:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,-75.8860243414,45.3149229704
2014000011,INNES RD btwn CYRVILLE RD & STONEHENGE CRES,2014-11-29,18:36:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,-75.6021971472,45.4166199808
2014000012,5TH LINE RD btwn SPRINGHILL RD & DEVEREAUX RD,2014-11-21,15:47:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,-75.5228366816,45.1781340587
2014000013,MERIVALE RD/LOTTA AVE @ CLYDE AVE,2014-11-27,08:26:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,05 - Turning movement,-75.7377428377,45.3579773072
2014000014,MARCH RD btwn GOLDEN LINE RD & BURNT LANDS RD,2014-10-24,06:54:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,03 - Dawn,01 - Fatal injury,01 - Approaching,-76.1409164525,45.2607145592
2014000015,CARLING AVE btwn BURKE RD & DEFENSE  RESEARCH COMPLEX,2014-07-12,05:25:00,01 - Clear,01 - Dry,10 - No control,06 - Underpass or tunnel,03 - Dawn,01 - Fatal injury,07 - SMV other,-75.8837371996,45.3436945871
2014000016,REGIONAL RD 174 @ TRIM RD,2014-02-17,00:53:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,-75.4821213497,45.4952919061
2014000017,JOCKVALE RD @ STRANDHERD DR,2014-08-07,21:46:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,-75.7511405864,45.268720307
2014000018,HIGHWAY 17 btwn THOMAS ELLIOT RD & GALETTA SIDE RD,2014-07-23,19:14:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,01 - Approaching,-76.3001712005,45.4210712834
2014000019,BASELINE RD @ ROCKWAY CRES,2014-11-03,06:52:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,03 - Dawn,01 - Fatal injury,07 - SMV other,-75.7805007288,45.3440905942
2014000020,WOODROFFE AVE @ KNOXDALE RD/MEDHURST DR,2014-12-12,18:46:00,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,05 - Turning movement,-75.7521108822,45.3339524002
2014000021,ST. JOSEPH BLVD btwn OR174 IC109 RAMP54 & ROCKCLIFFE PKWY,2014-02-15,23:19:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,99 - Other,-75.5788291372,45.4526140082
2014000022,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62,2014-08-25,12:15:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,04 - Sideswipe,-75.8042080814,45.3164301145
