Record,Location,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,longitude,latitude
2015000026,HUNT CLUB RD btwn NORTH BOWESVILLE RD & BILLY BISHOP PRIV,2015-02-01,18:17:00,01 - Clear,02 - Wet,10 - No control,04 - At/near private drive,07 - Dark,02 - Non-fatal injury,02 - Angle,-75.6842249039,45.3382437475
2015000027,RICHMOND RD btwn LOVITT RD & HIGHFIELD CRES,2015-01-21,18:33:00,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,-75.7996125862,45.3521831107
2015000028,CITY PARK DR btwn AMBASSADOR AVE & OGILVIE RD,2015-03-13,08:54:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.6120842154,45.4319956761
2015000029,ST. LAURENT BLVD btwn TO BE DETERMINED & DWELLINGHAM PRIV,2015-03-15,07:58:00,03 - Snow,04 - Slush,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.6226368076,45.3983674004
2015000030,DONALD ST btwn MARGUERITE AVE & VANIER PKWY,2015-02-21,12:28:00,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6633299474,45.4272660619
2015000031,HINES RD btwn INNOVATION DR & SOLANDT RD,2015-02-04,11:50:00,03 - Snow,03 - Loose snow,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.9217693263,45.3436796777
2015000032,ROBERTSON RD btwn HAZELDEAN RD & HAANEL DR,2015-01-19,07:51:00,05 - Drifting Snow,03 - Loose snow,10 - No control,01 - Non intersection,03 - Dawn,02 - Non-fatal injury,07 - SMV other,-75.8709189522,45.3064976919
2015000033,MEADOWLANDS DR/TALLWOOD DR @ WOODROFFE AVE,2015-02-22,20:34:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.7566569056,45.3421158848
2015000034,BASELINE RD @ CLYDE AVE,2015-01-20,11:00:00,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7397842799,45.3614334671
2015000035,BANK ST @ ERIE AVE,2015-02-26,14:07:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6658316536,45.3752332112
2015000036,MERIVALE RD @ WEST HUNT CLUB RD,2015-01-28,12:18:00,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.724104633,45.3347997685
2015000037,GREENBANK RD btwn JOCKVALE RD & CAMBRIAN RD,2015-01-20,15:12:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7412177055,45.2621834305
2015000038,MACDONALD ST btwn WAVERLEY ST & FRANK ST,2015-01-06,12:17:00,01 - Clear,04 - Slush,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.6845493864,45.417181101
2015000039,BAY ST @ WELLINGTON ST,2015-01-19,18:00:00,01 - Clear,03 - Loose snow,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.7076008716,45.4193552887
2015000040,MONTREAL RD @ DEN HAAG DR/LANG'S RD,2015-01-20,14:57:00,01 - Clear,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6360173126,45.4446709235
2015000041,BANK ST @ JOHNSTON RD,2015-01-22,07:16:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,03 - Dawn,02 - Non-fatal injury,03 - Rear end,-75.656894054,45.3604015396
2015000042,BLAIR RD @ REGIONAL RD 174 N/OR174 IC112 RAMP61,2015-01-19,14:56:00,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6074617647,45.433383087
2015000043,LAFONTAINE AVE @ MCARTHUR AVE,2015-01-20,20:46:00,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,-75.6545799016,45.4317618442
2015000044,WOODROFFE AVE btwn FIRESTATION & BASELINE RD,2015-01-26,09:40:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7631006402,45.3516811642
2015000045,BARRAN ST @ FALLOWFIELD RD,2015-01-12,08:25:00,03 - Snow,03 - Loose snow,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.7671330665,45.2838172578
2015000046,LYON ST    N btwn SPARKS ST & WELLINGTON ST,2015-02-05,09:44:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,-75.7057206641,45.4198573974
2015000047,UPLANDS DR @ HUNTMASTER LANE/RHAPSODY LANE,2015-01-13,08:36:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.6804292036,45.3485286827
2015000048,REGIONAL ROAD 174 EB btwn OR174 IC109 RAMP55 & TRANSIT,2015-01-21,14:48:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.5836678247,45.4511121502
2015000049,KING EDWARD AVE @ LAURIER AVE,2015-01-19,17:41:00,01 - Clear,04 - Slush,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.6828929872,45.4253273702
2015000050,HWY417 IC118 RAMP35 btwn NICHOLAS ST & HWY417 IC118 RAMP45,2015-01-21,11:30:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,-75.6735170311,45.4158687489
2015000051,GREENBANK RD @ WEST HUNT CLUB RD,2015-01-08,14:36:00,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7770335902,45.3221887524
2015000052,BARNSDALE RD @ PRINCE OF WALES DR,2015-01-16,08:51:00,05 - Drifting Snow,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.7121989173,45.2410402081
2015000053,SWEETNAM DR btwn ORCHARD DR & HARRY DOUGLAS DR,2015-01-31,09:38:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.9146531857,45.2752959451
2015000054,CATHERINE ST @ ELGIN ST,2015-02-18,13:00:00,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.6854952839,45.412252281
2015000055,PERCY ST btwn CATHERINE ST & CHAMBERLAIN AVE,2015-01-16,10:12:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.6989868534,45.4064215218
2015000056,ALBION RD @ HUNT CLUB RD,2015-01-08,16:30:00,01 - Clear,06 - Ice,01 - Traffic signal,03 - At intersection,05 - Dusk,02 - Non-fatal injury,05 - Turning movement,-75.6440037803,45.3556332
2015000057,BANTREE ST @ INNES RD,2015-01-30,18:58:00,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,-75.6196918634,45.4102078094
2015000058,BANK ST btwn FINDLAY CREEK DR & BLAIS RD,2015-01-14,08:46:00,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,01 - Approaching,-75.590069681,45.3140689721
2015000059,TERRY FOX DR @ HALKIRK AVE/WINCHESTER DR,2015-01-14,21:14:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,04 - Sideswipe,-75.8917453191,45.290174669
2015000060,NAVAN RD btwn CANARY ST & MILTON RD,2015-02-27,15:37:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,-75.4498050248,45.420971634
2015000061,BANK ST btwn ANOKA ST & WILDWOOD AVE,2015-02-27,16:32:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,-75.6671942897,45.3778211627
2015000062,BEATRICE DR @ STRANDHERD DR,2015-01-16,13:00:00,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.7260042491,45.2752317702
2015000063,HOLLY ACRES RD @ TRANSITWAY - BAYSHORE/278 N O,2015-02-02,14:47:00,03 - Snow,05 - Packed snow,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.8147748206,45.3447826687
2015000064,CRAIG HENRY DR @ KNOXDALE RD,2015-03-01,23:00:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.7559933555,45.332446599
2015000065,REGIONAL ROAD 174 btwn QUIGLEY HILL RD & REGIONAL ROAD 174 DIVIDED,2015-01-17,08:03:00,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,03 - Dawn,02 - Non-fatal injury,07 - SMV other,-75.4718410077,45.5065929299
2015000066,STRANDHERD DR btwn CEDARVIEW RD & MCKENNA CASEY DR,2015-02-08,08:45:00,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,01 - Approaching,-75.7700782946,45.2596781768
2015000067,CYRVILLE RD btwn LABRIE AVE & STAR TOP RD,2015-02-10,17:22:00,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.6209227943,45.4210493782
2015000068,MACLAREN ST btwn METCALFE ST & ELGIN ST,2015-02-10,18:40:00,01 - Clear,04 - Slush,10 - No control,04 - At/near private drive,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.6905828007,45.4169037113
2015000069,HINCKS LANE @ RIVERSIDE DR,2015-03-06,13:20:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,-75.6649265597,45.4087301998
2015000070,ROCKDALE RD @ RUSSELL RD,2015-03-07,14:32:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.3641526821,45.3770503046
2015000071,WEST HUNT CLUB RD @ WOODROFFE AVE,2015-02-11,08:43:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.748962749,45.328685403
2015000072,ELWOOD ST @ MONTREAL RD,2015-07-31,08:59:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,-75.6103515479,45.4460782061
2015000073,INDUSTRIAL AVE btwn RUSSELL RD & ST. LAURENT BLVD,2015-03-10,11:17:00,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6280090149,45.4064377688
2015000074,ALBION RD @ WYLDEWOOD ST,2015-01-21,11:30:00,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.6387259305,45.3463538477
2015000075,BANK ST btwn ARENA PL & WHITE ALDER AVE,2015-02-19,16:42:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,-75.5957417527,45.3239128015
2015000076,PLACE D'ORLEANS @ CENTRUM BLVD/PLACE D'ORLEANS,2015-03-11,15:50:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,-75.5130108616,45.4789179815
2015000077,FROBISHER LANE W @ RIVERSIDE DR,2015-01-28,14:21:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6656195212,45.4033143986
2015000078,SMYTH RD E/LANCASTER RD @ ST. LAURENT BLVD N/R,2015-01-10,17:45:00,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.624181847,45.4014216761
2015000079,SNAKE ISLAND RD btwn MCGUIRE RD & BLANCHFIELD RD,2015-01-23,08:32:00,01 - Clear,02 - Wet,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.5891429473,45.1817276645
2015000080,JOCKVALE RD @ LONGFIELDS DR,2015-10-01,16:20:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.7350725493,45.2634146911
2015000081,GREENBANK RD @ MARKETPLACE AVE,2015-03-02,15:28:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7454487429,45.2688804468
2015000082,KING EDWARD AVE @ YORK ST,2015-01-16,12:25:00,01 - Clear,03 - Loose snow,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,-75.6872220275,45.430647773
2015000083,MERIVALE RD/LOTTA AVE @ CLYDE AVE,2015-01-21,14:47:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.7377377563,45.3579821279
2015000084,BARNSDALE RD @ GREENBANK RD,2015-01-21,16:51:00,01 - Clear,06 - Ice,02 - Stop sign,03 - At intersection,05 - Dusk,02 - Non-fatal injury,02 - Angle,-75.7257347862,45.2356969765
2015000085,COVENTRY RD @ VANIER PKWY,2015-01-22,08:27:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6582187446,45.4213461268
2015000086,TRIM RD btwn WALL RD & NAVAN RD,2015-01-16,17:12:00,05 - Drifting Snow,03 - Loose snow,10 - No control,01 - Non intersection,05 - Dusk,02 - Non-fatal injury,07 - SMV other,-75.4406990548,45.4462506596
2015000087,GEORGE ST btwn SUSSEX DR & 26 W OF BYWARD MARKET/FREIMAN MALL,2015-06-17,22:16:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,07 - Dark,02 - Non-fatal injury,05 - Turning movement,-75.693430441,45.4265285619
2015000088,BANK ST @ RIVERSIDE DR S,2015-08-06,20:07:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,-75.6762364498,45.3880301558
2015000089,PAUL ANKA DR @ UPLANDS DR,2015-08-11,07:07:00,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.6748446689,45.3491561478
2015000090,FISHER AVE @ PRINCE OF WALES DR,2015-01-22,18:09:00,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.7040910522,45.352668231
2015000091,CYCLONE TAYLOR BLVD @ PALLADIUM DR,2015-02-27,18:30:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,-75.9216897883,45.2967518542
2015000092,MERIVALE RD @ 170 N OF HUNTCLUB RD/COSTCO/CANA,2015-02-27,19:37:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.7249160942,45.3362321116
2015000093,MARCH RD btwn OLD CARP RD & KLONDIKE RD,2015-03-07,12:22:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.9343855082,45.3565750921
2015000094,OGILVIE RD btwn MATHESON RD & CADBORO RD,2015-05-08,16:44:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,-75.623144888,45.4295548113
2015000095,BASELINE RD/HERON RD @ PRINCE OF WALES DR,2015-01-04,17:40:00,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,-75.7074653144,45.3751351964
2015000096,DOWNPATRICK RD btwn WYMAN CRES & WYMAN PL,2015-05-08,20:43:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,07 - Dark,02 - Non-fatal injury,02 - Angle,-75.6607828167,45.3462135746
